table,column,dtype,rows,non_null_rows,null_rows,null_pct,unique_values,unique_pct_of_non_null,sample_values,top_values
DIM_CUSTOMER,customer_id,object,30000,30000,0,0.0,30000,100.0,CUST-L3-000001 | CUST-L3-000002 | CUST-L3-000003 | CUST-L3-000004 | CUST-L3-000005,CUST-L3-000001: 1 | CUST-L3-000002: 1 | CUST-L3-000003: 1 | CUST-L3-000004: 1 | CUST-L3-000005: 1
DIM_CUSTOMER,customer_type,object,30000,30000,0,0.0,2,0.006666666666666667,B2C | B2B,"B2C: 29,700 | B2B: 300"
DIM_CUSTOMER,email,object,30000,30000,0,0.0,30000,100.0,customer000001@example.test | customer000002@example.test | customer000003@example.test | customer000004@example.test | customer000005@example.test,customer000001@example.test: 1 | customer000002@example.test: 1 | customer000003@example.test: 1 | customer000004@example.test: 1 | customer000005@example.test: 1
DIM_CUSTOMER,first_name_en,object,30000,30000,0,0.0,350,1.1666666666666667,Somying | Napa | Piti | Anong | Somsak,Somying: 600 | Napa: 600 | Piti: 600 | Anong: 600 | Somsak: 600
DIM_CUSTOMER,first_name_th,object,30000,29700,300,1.0,50,0.16835016835016833,สมหญิง | นภา | ปิติ | อนงค์ | สมศักดิ์,สมหญิง: 600 | นภา: 600 | ปิติ: 600 | อนงค์: 600 | สมศักดิ์: 600
DIM_CUSTOMER,gender,object,30000,29700,300,1.0,2,0.006734006734006734,M | F,"M: 15,000 | F: 14,700 | <NULL>: 300"
DIM_CUSTOMER,last_name_en,object,30000,29700,300,1.0,50,0.16835016835016833,Jaidee | Saengthong | Suksomboon | Sriwan | Boonruang,Saengthong: 600 | Phongphaibun: 600 | Sriwan: 600 | Onwan: 600 | Phakdi: 600
DIM_CUSTOMER,last_name_th,object,30000,29700,300,1.0,50,0.16835016835016833,ใจดี | แสงทอง | สุขสมบูรณ์ | ศรีวรรณ | บุญเรือง,แสงทอง: 600 | พงศ์ไพบูลย์: 600 | ศรีวรรณ: 600 | อ่อนหวาน: 600 | ภักดี: 600
DIM_CUSTOMER,loyalty_tier,object,30000,30000,0,0.0,4,0.013333333333333334,gold | platinum | none | silver,"none: 7,800 | gold: 7,500 | platinum: 7,500 | silver: 7,200"
DIM_CUSTOMER,payment_terms,object,30000,300,29700,99.0,2,0.6666666666666667,NET-30 | NET-60,"<NULL>: 29,700 | NET-30: 150 | NET-60: 150"
DIM_CUSTOMER,phone,int64,30000,30000,0,0.0,30000,100.0,800000001 | 800000002 | 800000003 | 800000004 | 800000005,800000001: 1 | 800000002: 1 | 800000003: 1 | 800000004: 1 | 800000005: 1
DIM_CUSTOMER,province,object,30000,30000,0,0.0,1,0.0033333333333333335,Bangkok,"Bangkok: 30,000"
DIM_CUSTOMER,region,object,30000,30000,0,0.0,1,0.0033333333333333335,BKK,"BKK: 30,000"
DIM_CUSTOMER,signup_date,object,30000,30000,0,0.0,2,0.006666666666666667,2024-01-05 | 2024-02-01,"2024-01-05: 29,700 | 2024-02-01: 300"
DIM_CUSTOMER,uses_line_oa,bool,30000,30000,0,0.0,2,0.006666666666666667,True | False,"True: 19,800 | False: 10,200"
DIM_DATE,date_be_string,object,731,731,0,0.0,731,100.0,2567-01-01 | 2567-01-02 | 2567-01-03 | 2567-01-04 | 2567-01-05,2567-01-01: 1 | 2567-01-02: 1 | 2567-01-03: 1 | 2567-01-04: 1 | 2567-01-05: 1
DIM_DATE,date_iso,object,731,731,0,0.0,731,100.0,2024-01-01 | 2024-01-02 | 2024-01-03 | 2024-01-04 | 2024-01-05,2024-01-01: 1 | 2024-01-02: 1 | 2024-01-03: 1 | 2024-01-04: 1 | 2024-01-05: 1
DIM_DATE,day_of_week,int64,731,731,0,0.0,7,0.957592339261286,1 | 2 | 3 | 4 | 5,1: 105 | 2: 105 | 3: 105 | 4: 104 | 5: 104
DIM_DATE,fiscal_quarter,int64,731,731,0,0.0,4,0.5471956224350205,1 | 2 | 3 | 4,4: 184 | 3: 184 | 2: 182 | 1: 181
DIM_DATE,fiscal_year,int64,731,731,0,0.0,2,0.27359781121751026,2567 | 2568,2567: 366 | 2568: 365
DIM_DATE,holiday_name,float64,731,0,731,100.0,0,,,<NULL>: 731
DIM_DATE,is_thai_public_holiday,bool,731,731,0,0.0,1,0.13679890560875513,False,False: 731
DIM_DEPARTMENT,dept_code,object,9,9,0,0.0,9,100.0,CEO | B2B | SUP | RET | FIN,CEO: 1 | B2B: 1 | SUP: 1 | RET: 1 | FIN: 1
DIM_DEPARTMENT,dept_name_en,object,9,9,0,0.0,9,100.0,Executive | B2B | Customer Support | Retail | Finance,Executive: 1 | B2B: 1 | Customer Support: 1 | Retail: 1 | Finance: 1
DIM_DEPARTMENT,dept_name_th,object,9,9,0,0.0,9,100.0,Executive | B2B | Customer Support | Retail | Finance,Executive: 1 | B2B: 1 | Customer Support: 1 | Retail: 1 | Finance: 1
DIM_DEPARTMENT,dept_type,object,9,9,0,0.0,2,22.22222222222222,corporate | product_division,corporate: 8 | product_division: 1
DIM_EMPLOYEE,branch_code,object,600,600,0,0.0,1,0.16666666666666669,BKK-R9,BKK-R9: 600
DIM_EMPLOYEE,canon_role_label,object,600,3,597,99.5,3,100.0,Founder & CEO | Board Chair | Incoming CEO,<NULL>: 597 | Founder & CEO: 1 | Board Chair: 1 | Incoming CEO: 1
DIM_EMPLOYEE,dept_code,object,600,600,0,0.0,9,1.5,CEO | B2B | SUP | RET | FIN,RET: 100 | MKT: 99 | B2B: 99 | SUP: 99 | FIN: 99
DIM_EMPLOYEE,email,object,600,600,0,0.0,600,100.0,vichai.l@fahmai.co.th | ben.a@fahmai.co.th | sara.l@fahmai.co.th | ron.r@fahmai.co.th | fin.a@fahmai.co.th,vichai.l@fahmai.co.th: 1 | ben.a@fahmai.co.th: 1 | sara.l@fahmai.co.th: 1 | ron.r@fahmai.co.th: 1 | fin.a@fahmai.co.th: 1
DIM_EMPLOYEE,employee_id,object,600,600,0,0.0,600,100.0,EMP-L3-00001 | EMP-L3-00002 | EMP-L3-00003 | EMP-L3-00004 | EMP-L3-00005,EMP-L3-00001: 1 | EMP-L3-00002: 1 | EMP-L3-00003: 1 | EMP-L3-00004: 1 | EMP-L3-00005: 1
DIM_EMPLOYEE,employment_type,object,600,600,0,0.0,1,0.16666666666666669,FT,FT: 600
DIM_EMPLOYEE,first_name_en,object,600,600,0,0.0,600,100.0,Vichai | Ben | Sara | Ron | Fin,Vichai: 1 | Ben: 1 | Sara: 1 | Ron: 1 | Fin: 1
DIM_EMPLOYEE,first_name_th,object,600,600,0,0.0,600,100.0,Vichai | Ben | Sara | Ron | Fin,Vichai: 1 | Ben: 1 | Sara: 1 | Ron: 1 | Fin: 1
DIM_EMPLOYEE,hire_date,object,600,600,0,0.0,1,0.16666666666666669,2023-01-01,2023-01-01: 600
DIM_EMPLOYEE,is_canon_leader,bool,600,600,0,0.0,2,0.33333333333333337,True | False,False: 597 | True: 3
DIM_EMPLOYEE,last_name_en,object,600,600,0,0.0,14,2.3333333333333335,Leelawong | Account | Lead | Retail | Approver,Member: 587 | Leelawong: 1 | Lead: 1 | Retail: 1 | Approver: 1
DIM_EMPLOYEE,last_name_th,object,600,600,0,0.0,14,2.3333333333333335,Leelawong | Account | Lead | Retail | Approver,Member: 587 | Leelawong: 1 | Lead: 1 | Retail: 1 | Approver: 1
DIM_EMPLOYEE,phone,float64,600,0,600,100.0,0,,,<NULL>: 600
DIM_EMPLOYEE,position_level,object,600,600,0,0.0,4,0.6666666666666667,C-level | Manager | Director | IC,IC: 589 | Manager: 6 | C-level: 3 | Director: 2
DIM_EMPLOYEE,position_title,object,600,600,0,0.0,18,3.0,CEO | B2B Account Manager | CS Lead | Retail Director | Finance Manager,MKT Staff: 98 | FIN Staff: 98 | OPS Staff: 98 | RET Staff: 98 | B2B Staff: 98
DIM_EMPLOYEE,reports_to_employee_id,object,600,598,2,0.33333333333333337,8,1.3377926421404682,EMP-L3-00001 | EMP-L3-00003 | EMP-L3-00004 | EMP-L3-00012 | EMP-L3-00002,EMP-L3-00004: 99 | EMP-L3-00005: 98 | EMP-L3-00003: 98 | EMP-L3-00008: 98 | EMP-L3-00002: 98
DIM_EMPLOYEE,section,float64,600,0,600,100.0,0,,,<NULL>: 600
DIM_EMPLOYEE,status,object,600,600,0,0.0,1,0.16666666666666669,active,active: 600
DIM_EMPLOYEE,termination_date,float64,600,0,600,100.0,0,,,<NULL>: 600
DIM_EMPLOYEE,termination_reason,float64,600,0,600,100.0,0,,,<NULL>: 600
DIM_EMPLOYEE,unit,float64,600,0,600,100.0,0,,,<NULL>: 600
DIM_POLICY_VERSION,effective_date,object,12,12,0,0.0,7,58.333333333333336,2024-01-01 | 2025-03-01 | 2025-04-01 | 2025-02-15 | 2025-05-01,2024-01-01: 5 | 2025-04-01: 2 | 2025-03-01: 1 | 2025-02-15: 1 | 2025-05-01: 1
DIM_POLICY_VERSION,end_date,object,12,5,7,58.333333333333336,4,80.0,2025-03-01 | 2025-04-01 | 2025-02-15 | 2025-03-15,<NULL>: 7 | 2025-04-01: 2 | 2025-03-01: 1 | 2025-02-15: 1 | 2025-03-15: 1
DIM_POLICY_VERSION,policy_class,object,12,12,0,0.0,6,50.0,return | membership | signing_authority | warranty | shipping,return: 2 | membership: 2 | signing_authority: 2 | warranty: 2 | shipping: 2
DIM_POLICY_VERSION,policy_doc_filename,float64,12,0,12,100.0,0,,,<NULL>: 12
DIM_POLICY_VERSION,policy_value_table_ref,object,12,3,9,75.0,2,66.66666666666666,dim_signing_authority_ladder | dim_care_plus_sku_tier,<NULL>: 9 | dim_signing_authority_ladder: 2 | dim_care_plus_sku_tier: 1
DIM_POLICY_VERSION,policy_variable,object,12,12,0,0.0,7,58.333333333333336,return_window_days | point_earning_rate_per_thb | refund_signing_authority_ladder | care_plus_sku_tier_table | warranty_routing,return_window_days: 2 | point_earning_rate_per_thb: 2 | refund_signing_authority_ladder: 2 | refund_threshold_thb: 2 | free_shipping_threshold_thb: 2
DIM_POLICY_VERSION,policy_version_id,int64,12,12,0,0.0,12,100.0,1 | 2 | 3 | 4 | 5,1: 1 | 2: 1 | 3: 1 | 4: 1 | 5: 1
DIM_POLICY_VERSION,scope_filter,object,12,12,0,0.0,1,8.333333333333332,global,global: 12
DIM_POLICY_VERSION,value_numeric,float64,12,8,4,33.33333333333333,8,100.0,14.0 | 21.0 | 0.01 | 0.0125 | 500.0,<NULL>: 4 | 14.0: 1 | 21.0: 1 | 0.01: 1 | 0.0125: 1
DIM_POLICY_VERSION,value_text,object,12,1,11,91.66666666666666,1,100.0,novatech_service,<NULL>: 11 | novatech_service: 1
DIM_POSITION_LEVEL,default_signing_authority_thb,float64,6,6,0,0.0,6,100.0,0.0 | 25000.0 | 100000.0 | 500000.0 | 1000000.0,0.0: 1 | 25000.0: 1 | 100000.0: 1 | 500000.0: 1 | 1000000.0: 1
DIM_POSITION_LEVEL,position_level_code,object,6,6,0,0.0,6,100.0,IC | Lead | Manager | Director | VP,IC: 1 | Lead: 1 | Manager: 1 | Director: 1 | VP: 1
DIM_POSITION_LEVEL,rank,int64,6,6,0,0.0,6,100.0,1 | 2 | 3 | 4 | 5,1: 1 | 2: 1 | 3: 1 | 4: 1 | 5: 1
DIM_PRODUCT,brand_family,object,110,110,0,0.0,6,5.454545454545454,NovaTech | SaiFah | ArcWave | WatchKit | Dawn,FahMai: 56 | NovaTech: 50 | SaiFah: 1 | ArcWave: 1 | WatchKit: 1
DIM_PRODUCT,care_plus_eligible,bool,110,110,0,0.0,2,1.8181818181818181,False | True,False: 106 | True: 4
DIM_PRODUCT,category,object,110,110,0,0.0,4,3.6363636363636362,smartphone | laptop | monitor | smartwatch,smartphone: 28 | laptop: 28 | monitor: 27 | smartwatch: 27
DIM_PRODUCT,dept_code,object,110,1,109,99.0909090909091,1,100.0,SF,<NULL>: 109 | SF: 1
DIM_PRODUCT,end_of_life_date,float64,110,0,110,100.0,0,,,<NULL>: 110
DIM_PRODUCT,is_third_party,bool,110,110,0,0.0,2,1.8181818181818181,True | False,False: 60 | True: 50
DIM_PRODUCT,launch_date,object,110,110,0,0.0,3,2.727272727272727,2023-01-01 | 2025-07-15 | 2024-01-01,2023-01-01: 106 | 2024-01-01: 3 | 2025-07-15: 1
DIM_PRODUCT,msrp_thb,float64,110,110,0,0.0,13,11.818181818181818,12900.0 | 42900.0 | 38900.0 | 16900.0 | 5900.0,12900.0: 14 | 55900.0: 13 | 24900.0: 13 | 29900.0: 13 | 8500.0: 13
DIM_PRODUCT,msrp_tier,object,110,110,0,0.0,3,2.727272727272727,10K-30K | >=30K | <10K,10K-30K: 54 | <10K: 40 | >=30K: 16
DIM_PRODUCT,sku_id,object,110,110,0,0.0,110,100.0,SKU-STD-001 | NT-LT-001 | SF-Galaxy-Pro-2568 | AW-MN-001 | WK-SW-004,SKU-STD-001: 1 | NT-LT-001: 1 | SF-Galaxy-Pro-2568: 1 | AW-MN-001: 1 | WK-SW-004: 1
DIM_PRODUCT,subcategory,object,110,110,0,0.0,2,1.8181818181818181,midrange | flagship,flagship: 56 | midrange: 54
DIM_PRODUCT,vendor_id,object,110,50,60,54.54545454545454,2,4.0,V-001 | V-002,<NULL>: 60 | V-001: 35 | V-002: 15
DIM_PRODUCT,warranty_months,int64,110,110,0,0.0,3,2.727272727272727,24 | 36 | 12,24: 108 | 36: 1 | 12: 1
DIM_PROMO_CAMPAIGN,campaign_id,object,7,7,0,0.0,7,100.0,SF-LAUNCH-2568 | MEGA-1111-2567 | MEGA-1212-2567 | MEGA-1111-2568 | MEGA-1212-2568,SF-LAUNCH-2568: 1 | MEGA-1111-2567: 1 | MEGA-1212-2567: 1 | MEGA-1111-2568: 1 | MEGA-1212-2568: 1
DIM_PROMO_CAMPAIGN,description_en,object,7,7,0,0.0,7,100.0,SF Galaxy Pro 2568 launch promo | 11.11 Mega Sale 2567 | 12.12 Mega Sale 2567 | 11.11 Mega Sale 2568 | 12.12 Mega Sale 2568,SF Galaxy Pro 2568 launch promo: 1 | 11.11 Mega Sale 2567: 1 | 12.12 Mega Sale 2567: 1 | 11.11 Mega Sale 2568: 1 | 12.12 Mega Sale 2568: 1
DIM_PROMO_CAMPAIGN,description_th,object,7,7,0,0.0,7,100.0,SF Galaxy Pro 2568 launch promo | 11.11 มหกรรมลดราคา 2567 | 12.12 มหกรรมลดราคา 2567 | 11.11 มหกรรมลดราคา 2568 | 12.12 มหกรรมลดราคา 2568,SF Galaxy Pro 2568 launch promo: 1 | 11.11 มหกรรมลดราคา 2567: 1 | 12.12 มหกรรมลดราคา 2567: 1 | 11.11 มหกรรมลดราคา 2568: 1 | 12.12 มหกรรมลดราคา 2568: 1
DIM_PROMO_CAMPAIGN,end_timestamp,object,7,7,0,0.0,7,100.0,2025-07-31T23:59:59+07:00 | 2024-11-12T23:59:59+07:00 | 2024-12-13T23:59:59+07:00 | 2025-11-12T23:59:59+07:00 | 2025-12-13T23:59:59+07:00,2025-07-31T23:59:59+07:00: 1 | 2024-11-12T23:59:59+07:00: 1 | 2024-12-13T23:59:59+07:00: 1 | 2025-11-12T23:59:59+07:00: 1 | 2025-12-13T23:59:59+07:00: 1
DIM_PROMO_CAMPAIGN,scope_filter,object,7,7,0,0.0,3,42.857142857142854,"sku-list:[SF-Galaxy-Pro-2568] | all | sku-list:[DN-LT-010,WK-SW-004,AW-MN-001]","all: 4 | sku-list:[DN-LT-010,WK-SW-004,AW-MN-001]: 2 | sku-list:[SF-Galaxy-Pro-2568]: 1"
DIM_PROMO_CAMPAIGN,start_timestamp,object,7,7,0,0.0,7,100.0,2025-07-15T00:00:00+07:00 | 2024-11-11T00:00:00+07:00 | 2024-12-12T00:00:00+07:00 | 2025-11-10T00:00:00+07:00 | 2025-12-11T00:00:00+07:00,2025-07-15T00:00:00+07:00: 1 | 2024-11-11T00:00:00+07:00: 1 | 2024-12-12T00:00:00+07:00: 1 | 2025-11-10T00:00:00+07:00: 1 | 2025-12-11T00:00:00+07:00: 1
DIM_VENDOR,category,object,6,6,0,0.0,3,50.0,consumer_brand | logistics | payments,logistics: 3 | consumer_brand: 2 | payments: 1
DIM_VENDOR,end_date,object,6,1,5,83.33333333333334,1,100.0,2025-03-31,<NULL>: 5 | 2025-03-31: 1
DIM_VENDOR,invoice_cadence,object,6,6,0,0.0,2,33.33333333333333,monthly | weekly,monthly: 3 | weekly: 3
DIM_VENDOR,is_component_supplier,bool,6,6,0,0.0,1,16.666666666666664,False,False: 6
DIM_VENDOR,is_partner_brand,bool,6,6,0,0.0,2,33.33333333333333,True | False,False: 4 | True: 2
DIM_VENDOR,name_en,object,6,6,0,0.0,6,100.0,NovaTech | NovaTech Service | VeloShip | PayWise | LegacyShip,NovaTech: 1 | NovaTech Service: 1 | VeloShip: 1 | PayWise: 1 | LegacyShip: 1
DIM_VENDOR,name_th,object,6,6,0,0.0,6,100.0,NovaTech | NovaTech Service | VeloShip | PayWise | LegacyShip,NovaTech: 1 | NovaTech Service: 1 | VeloShip: 1 | PayWise: 1 | LegacyShip: 1
DIM_VENDOR,payment_terms,object,6,6,0,0.0,2,33.33333333333333,NET-30 | NET-15,NET-30: 3 | NET-15: 3
DIM_VENDOR,role,object,6,6,0,0.0,4,66.66666666666666,partner_brand | warranty_partner | carrier | processor,carrier: 3 | partner_brand: 1 | warranty_partner: 1 | processor: 1
DIM_VENDOR,start_date,object,6,6,0,0.0,2,33.33333333333333,2023-01-01 | 2025-04-01,2023-01-01: 5 | 2025-04-01: 1
DIM_VENDOR,vendor_id,object,6,6,0,0.0,6,100.0,V-001 | V-002 | V-006 | V-013 | V-014,V-001: 1 | V-002: 1 | V-006: 1 | V-013: 1 | V-014: 1
DIM_VENDOR_CONTRACT_VERSION,amendment_summary,object,22,16,6,27.27272727272727,13,81.25,Fee-floor amendment | Yearly rate ladder | Compliance amendment | Warranty service carve | Parts pricing update,<NULL>: 6 | Compliance amendment: 3 | Peak-season surcharge: 2 | Fee-floor amendment: 1 | Warranty service carve: 1
DIM_VENDOR_CONTRACT_VERSION,contract_pdf_filename,object,22,22,0,0.0,22,100.0,contracts/V-013-v1.pdf | contracts/V-013-v2.pdf | contracts/V-013-v3.pdf | contracts/V-013-v4.pdf | contracts/V-002-v1.pdf,contracts/V-013-v1.pdf: 1 | contracts/V-013-v2.pdf: 1 | contracts/V-013-v3.pdf: 1 | contracts/V-013-v4.pdf: 1 | contracts/V-002-v1.pdf: 1
DIM_VENDOR_CONTRACT_VERSION,contract_version_id,int64,22,22,0,0.0,22,100.0,1 | 2 | 3 | 4 | 5,1: 1 | 2: 1 | 3: 1 | 4: 1 | 5: 1
DIM_VENDOR_CONTRACT_VERSION,effective_date,object,22,22,0,0.0,12,54.54545454545454,2024-01-01 | 2025-04-01 | 2025-07-01 | 2025-10-01 | 2025-06-01,2024-01-01: 5 | 2025-04-01: 4 | 2025-10-01: 3 | 2024-09-01: 2 | 2025-07-01: 1
DIM_VENDOR_CONTRACT_VERSION,end_date,object,22,17,5,22.727272727272727,12,70.58823529411765,2025-04-01 | 2025-07-01 | 2025-10-01 | 2025-06-01 | 2025-09-01,<NULL>: 5 | 2025-04-01: 3 | 2025-10-01: 3 | 2024-09-01: 2 | 2025-07-01: 1
DIM_VENDOR_CONTRACT_VERSION,vendor_id,object,22,22,0,0.0,6,27.27272727272727,V-013 | V-002 | V-006 | V-001 | V-014,V-013: 4 | V-002: 4 | V-006: 4 | V-001: 4 | V-014: 3
DIM_VENDOR_CONTRACT_VERSION,version_number,int64,22,22,0,0.0,4,18.181818181818183,1 | 2 | 3 | 4,1: 6 | 2: 6 | 3: 6 | 4: 4
FACT_BANK_TRANSACTION,account_id,object,65334,65334,0,0.0,14,0.02142835277191049,KBANK-OPER | BBL-OPER | SCB-OPER | OPER-BKK-CTW | OPER-BKK-EMSP,"KBANK-OPER: 37,007 | OPER-BKK-SIAM: 2,838 | OPER-BKK-CTW: 2,774 | OPER-BKK-EMSP: 2,714 | OPER-PTY-CTRL: 2,671"
FACT_BANK_TRANSACTION,amount_thb,float64,65334,65334,0,0.0,4847,7.418801848960725,-85000.0 | -42000.0 | -18500.0 | -16800.0 | -16900.0,"-39150.0: 14,400 | -300.0: 1,255 | -8500.0: 988 | -12900.0: 924 | -29900.0: 912"
FACT_BANK_TRANSACTION,as_of_date,object,65334,65334,0,0.0,1,0.001530596626565035,2026-01-15,"2026-01-15: 65,334"
FACT_BANK_TRANSACTION,balance_after_thb,float64,65334,65334,0,0.0,65245,99.8637769002357,9810700.0 | 9760200.0 | 9895700.0 | 9697800.0 | 9714600.0,45890400.0: 3 | 167369200.0: 2 | 1225646750.0: 2 | 1230274650.0: 2 | 3739300.0: 2
FACT_BANK_TRANSACTION,bank_txn_id,object,65334,65334,0,0.0,65334,100.0,BT-202401-160695623562 | BT-202401-245384114094 | BT-202401-114016678594 | BT-202401-788599466404 | BT-202401-595128288829,BT-202401-160695623562: 1 | BT-202401-245384114094: 1 | BT-202401-114016678594: 1 | BT-202401-788599466404: 1 | BT-202401-595128288829: 1
FACT_BANK_TRANSACTION,business_event_date,object,65334,65334,0,0.0,731,1.1188661340190407,2024-01-01 | 2024-01-02 | 2024-01-03 | 2024-01-04 | 2024-01-05,2024-06-30: 681 | 2025-05-31: 679 | 2025-02-28: 678 | 2025-12-31: 676 | 2024-07-31: 675
FACT_BANK_TRANSACTION,counterparty,object,65334,37007,28327,43.35721064070775,8083,21.841813710919556,V-001 | V-002 | V-006 | V-014 | CUST-L3-003586,"<NULL>: 28,327 | V-006: 192 | V-002: 192 | V-001: 192 | V-014: 120"
FACT_BANK_TRANSACTION,description,object,65334,65334,0,0.0,65194,99.7857164722809,Vendor payment V-001 VP-202401-8584003 | Vendor payment V-002 VP-202401-14427228 | Vendor payment V-006 VP-202401-13226606 | Vendor payment V-014 VP-202401-11818583 | Refund payout RFD-202401-01003586,Inter-account transfer KBANK-OPER -> SCB-OPER: 48 | Inter-account transfer KBANK-OPER -> BBL-OPER: 48 | Monthly bank fee: wire-fee on KBANK-OPER: 24 | Monthly bank fee: account-maintenance on KBANK-OPER: 24 | Vendor payment V-006 VP-202401-13226606: 1
FACT_BANK_TRANSACTION,effective_date,float64,65334,0,65334,100.0,0,,,"<NULL>: 65,334"
FACT_BANK_TRANSACTION,posting_date,object,65334,65334,0,0.0,731,1.1188661340190407,2024-01-01 | 2024-01-02 | 2024-01-03 | 2024-01-04 | 2024-01-05,2024-06-30: 681 | 2025-05-31: 679 | 2025-02-28: 678 | 2025-12-31: 676 | 2024-07-31: 675
FACT_BANK_TRANSACTION,related_entity_id,object,65334,65190,144,0.22040591422536507,65190,100.0,VP-202401-8584003 | VP-202401-14427228 | VP-202401-13226606 | VP-202401-11818583 | RFD-202401-01003586,<NULL>: 144 | UDN-CTRL|2025-12-27|debit_card: 1 | UDN-CTRL|2025-12-27|credit_card: 1 | RFD-202401-01011803: 1 | UDN-CTRL|2025-12-31|mobile_wallet: 1
FACT_BANK_TRANSACTION,related_entity_table,object,65334,65190,144,0.22040591422536507,6,0.009203865623561897,FACT_VENDOR_PAYMENT | FACT_REFUND_PAID | FACT_LOYALTY_LEDGER | FACT_SALES | FACT_PAYROLL,"FACT_SALES_DEPOSIT_BATCH: 28,279 | FACT_PAYROLL: 14,400 | FACT_SALES: 13,313 | FACT_REFUND_PAID: 7,134 | FACT_LOYALTY_LEDGER: 1,255"
