id,output
2142,เราจะมาสวยขอแจ้งล่วงหน้า
2143,ฉันอยากไปนอนที่บ้านพัก
2144,รอฉันแป๊บเดียวกำลังจะไป
2145,เธอชอบกินอาหารอีสานไหม
2146,เธอจะไปไหนมา
2147,มีบริการจัดหาเชฟทำอาหารที่บ้านไหม
2148,ฉันกำลังยุ่งมาก
2149,บัตรเครดิต ใช้ได้ไหม
2150,ฉันอยากไปเที่ยวต่างจังหวัด
2151,ฉันรู้สึกดีใจมากที่ได้กลับมาเยี่ยมบ้านหลังจากไม่ได้กลับนาน
2152,สามารถจองออนไลน์ได้ไหม
2153,ฉันชอบดูหนังแนวตลกมันทำให้ฉันหัวเราะได้เยอะ
2154,วันเมื่อวานไปไหนมา
2155,อย่าลืมใส่หมวกกันแดดนะ
2156,สบายดีไหม
2157,เราจะไปฝากเงินที่ธนาคาร
2158,จะพาลูกไปเล่นที่สนามเด็กเล่น
2159,พบไข้หวัดระบาดในพื้นที่
2160,กินข้าวแล้วจะไปไหน
2161,อย่าเล่นน้ำฝนมากนะ
2162,รีบมานหาฉันหน่อย
2163,เจอคุณเก่านะ
2164,อากาศดีไม่หนาว
2165,อากาศเย็นดีมาก
2166,อย่าลืม
2167,เรา มีนัด หมอ พรุ่งนี้
2168,ขอเส้นทางหน่อย
2169,ฉันจะไปเยี่ยมแม่
2170,ทำแบบนั้นดีไหม
2171,ร้อนมากจนอยากไปเล่นน้ำ
2172,อากาศหนาวแล้วนะ
2173,จะพาไปกินอาหารที่ร้านดัง
2174,เอาเสื้อกันฝนไปด้วยนะ
2175,น้องสาวทำข้าวจี่ใส่ไข่ย่างไฟหอมมากกินแล้วอิ่มอร่อย
2176,ต้องกินยาจนหมดหรือเปล่า
2177,อย่าขัดจังหวะตอนคนอื่นพูด
2178,ช่วยดูของให้หน่อยฉันจะไปซื้อของ
2179,ถึงบ้านแล้ว
2180,รักเธอมาก
2181,เธอนี่ช่างใจดี
2182,จะไปไหนแต่เช้า
2183,ฉันอยากไปดูคอนเสิร์ต
2184,แผ่นดินไหวขนาดเล็กเกิดขึ้นในภาคเหนือ
2185,ฉันจะไปซื้อน้ำแข็ง
2186,ฉันอยากใช้บริการเช่ารถ
2187,ฉันอยากได้หมวกกันแดด
2188,ทำประกันสุขภาพไหม
2189,พบแหล่งน้ำแร่ธรรมชาติใหม่
2190,ใครจะมาด้วยกัน
2191,รับชำระเงินผ่านแอปมือถือไหม
2192,อากาศร้อนมาก
2193,นักเรียนบ้านเราคว้ารางวัลวิทยาศาสตร์
2194,โปรเจคนี้มีปัญหาหลาย
2195,เธอชอบไปเที่ยวตลาดเช้าหรือว่าตลาดเย็นมากกว่ากัน
2196,ไม่ต้องทำเยอะคุณพักผ่อนให้เต็มที่ก่อนนะ
2197,ฉันจะซื้อเนื้อวัวครึ่งกิโล
2198,เธออยากกินอะไรฉันจะไปซื้อให้เธอนะ
2199,เธอมีเบอร์โทรหมอไหม
2200,ฉันอยากถามเพิ่ม
2201,ฝนตกแล้ว
2202,เดินเล่นรอบเมืองกันไหม
2203,ใช่ จะไปเที่ยวสวนสัตว์พรุ่งนี้
2204,ฉันจะซื้อมือถือใหม่
2205,อย่าลืมนำบัตรประชาชน
2206,ของอยู่ตลาดนี้สดกว่าตลาดอื่นไหม
2207,วันนี้ฝนตก
2208,อยู่ดีมีอะไร
2209,สถานีอยู่ทางไหน
2210,วันนี้มีโปรโมชั่นไหม
2211,อาหารที่บ้านอร่อยไหม
2212,พวกเรา มาช่วยกันปลูกต้นไม้
2213,ฉันอยากได้ปลาแดกที่อร่อยดี
2214,ส่งข้อความมาหาฉันหน่อย
2215,ขอสอบถามเกี่ยวกับนโยบายการรับคืนสินค้าถ้าของใช้แล้วเปลี่ยนได้ไหม
2216,รีบไปเถอะเดี๋ยวสาย
2217,ร้านนี้มีบริการล้างรถไหม
2218,ถ้าของเสียเปลี่ยนคืนได้ไหม
2219,พูดมาหน่อย
2220,ฉันไม่มีเงิน
2221,พี่จะไปเที่ยวตลาดนัด
2222,ฉันคิดถึงแม่มาก
2223,วันนี้อากาศร้อนมากอยากกินน้ำแข็งบ้างให้เย็นสบาย
2224,รีบมานั่งกินข้าว
2225,เราจะไปนอนบ้านยาย
2226,ลูกหมาเธอน่ารักมาก
2227,สินค้านี้สามารถใช้เป็นของขวัญสำหรับผู้ใหญ่ได้ไหม
2228,ร้านขายโทรศัพท์อยู่ที่ไหน
2229,เราจะไปกินข้าวด้วยกันไหม
2230,ฉันง่วงนอนแล้ว
2231,จะไปตลาดนัดก่อนไปเที่ยวไหม
2232,จะไปงานแต่งกันไหม
2233,ช่วยฉันหน่อย
2234,ฉันจะไปดูหมอลำซิ่ง
2235,ฉันหาซื้อเครื่องสำอาง
2236,ฉันจะไปนอนก่อนนะ
2237,ช่วยดูแลลูกฉันหน่อยสักครู่
2238,เธอไปโรงเรียนกี่โมง
2239,คิดถึงนะ
2240,มะม่วงสุกกิโลละกี่บาท
2241,ไปเล่นบอลกันไหม
2242,ฉันอยากเปิดเบอร์ใหม่
2243,กินเผ็ดได้ไหม
2244,เธอจะไปตลาดไหม
2245,ฉันจะไปตลาดซื้อผัก
2246,สินค้าตัวนี้เป็นรุ่นใหม่ล่าสุดหรือเป็นของค้างสต็อก
2247,ฉันชอบไปเยี่ยมย่าทุกเสาร์เพราะว่าย่ารักฉันมาก
2248,เธอมาอยู่ที่ไหน
2249,บันทึกการประชุมอยู่ที่ไหน
2250,ฉันจะไปทำงานที่เมือง ขอนแก่นอาทิตย์หน้าไม่รู้ว่าจะเป็นยังไง
2251,ขอให้เราปิดประชุมตรงนี้
2252,ถึงแล้วหาที่พักก่อน
2253,งานบุญใหญ่เริ่มขึ้นแล้ววันนี้
2254,อย่าคิดมาก
2255,เราเป็นพี่น้องกัน
2256,เธอจะไม่ไปดูหนังเหรอ
2257,เธอช่างทำแบบนี้
2258,เธอไปไหนมา
2259,ไป นา กับ พ่อ
2260,น้ำหอม ขวดนี้หอมไหม
2261,จะไปดำน้ำดูปะการัง
2262,เธอรู้จักเพื่อนบ้านไหม
2263,ฉันรักเธอ
2264,ใครจะไปส่งน้องเรียน
2265,ตำรวจเร่งกำลังดูแลความปลอดภัยปีใหม่
2266,ขอคุยกับผู้จัดการได้ไหม
2267,ฉันกำลังทำขนมพื้นบ้าน อยากลองชิมไหม
2268,เย็นนี้จะไปงานบุญไหม
2269,โรงพยาบาลเปิดแผนกรักษาโรคเฉพาะทาง
2270,ยินดีต้อนรับนะ
2271,สภาพอากาศวันนี้แดดแรงมาก
2272,ฉันอยากซื้อรองเท้าใหม่
2273,จะไปเยี่ยมเพื่อนที่โรงพยาบาล
2274,สีนี้สวยมาก
2275,ไปซื้อผักให้แม่หน่อย
2276,ไปเล่นน้ำกัน
2277,เรื่องนี้เราคุยกันหลายรอบแล้ว
2278,ฉันชอบไปเดินตลาดนัดหาของกินอร่อยๆ
2279,ฉันอยากเริ่มออกกำลังกาย
2280,ถ้าเกิดปัญหาหลังจากซื้อไปแล้วฉันสามารถติดต่อใครเพื่อรับการช่วยเหลือ
2281,เธอมีเวลาว่างไหม
2282,พรุ่งนี้จะไปดูแข่งฟุตบอลทีมโปรดไหม
2283,บริการช้ามากคนก็เลยเยอะ
2284,สามารถนัดพนักงานมาติดตั้งเครื่องใช้ไฟฟ้าได้ไหม
2285,ทำอะไรอยู่
2286,จะไปตรวจตาที่ไหน
2287,ไฟไหม้ โทรแจ้งดับไฟเร็ว
2288,ไปด้วยกันไหม
2289,วันนี้จะไปซื้อของฝากให้พ่อแม่คิดถึงเลยว่าจะซื้ออะไรดี
2290,ฉันจะไปหาหมอ
2291,พรุ่งนี้จะไปเที่ยววัด
2292,ฉันชอบอันนี้มาก
2293,ข่าวบันเทิงวันนี้เป็นยังไง
2294,ทิวทัศน์นี้สวยมาก
2295,ฉันอยากไปหาหมอ
2296,ส่งข้อความหาฉันด้วย
2297,ไปกินข้าวกัน
2298,ฉันอยากนอนแล้ว
2299,ร้านนี้รับฝากสัตว์เลี้ยงไหม
2300,จะพาแม่ไปซื้อของ
2301,คืนเงินได้ไหม
2302,ถ้าฉันซื้อสินค้าจำนวนมาก ๆ จะได้รับราคาส่งหรือส่วนลดพิเศษไหม
2303,เรา มาช่วยกันหน่อย
2304,ขอให้เธอสรุปหน่อย
2305,วันนี้รถติดมาก
2306,แผนนี้มีโอกาสเป็นจริงสูง
2307,ไม่ค่อยเข้าใจ
2308,ฝนจะตกแล้วรีบเข้าบ้าน
2309,ไม่ต้องรีบทำนะ ทำช้าๆดีกว่า
2310,ฉันจะไปซื้อต้มเลือดหมู
2311,รอฉันสักครู่กำลังมา
2312,รีวิวสินค้าดีไหม
2313,ทำอะไรอยู่
2314,สินค้าใหม่เมื่อไหร่จะลง
2315,ไปทางลัดจะเร็วกว่า
2316,ฉันอยากไปเที่ยวโฮมสเตย์
2317,อย่าลืมนำหมวกไปนะ
2318,อย่าออกไปไกลนะ
2319,แบบไหนก็ได้ฉันไม่เลือก
2320,เธอกำลังทำอะไรอยู่
2321,ราคาหมูแพงขึ้นชาวบ้านได้รับผลกระทบ
2322,พยาบาลให้ยาผิดไหม
2323,ใช่ไหม
2324,ซื่อสัตย์มากนะ
2325,ทีมฟุตบอลบ้านเราชนะการแข่งขัน
2326,อย่าลืมล็อคประตูบ้าน
2327,ช่วยจับของให้หน่อยฉันถือเยอะแล้ว
2328,ฉันอยากซื้อพริกแกงแดง
2329,วันนี้จะไปทำบุญ
2330,ลดราคาให้หน่อยได้ไหมถ้าซื้อสองตัวหรือมากกว่านี้ลดเพิ่มได้ไหม
2331,เรา มาฝึกเล่นดนตรีด้วยกัน
2332,ถ้าซื้อครบจำนวนที่กำหนดแล้วสามารถแลกรับของแถมได้ไหม
2333,บ้านคุณอยู่ที่ไหน
2334,คิดถึงบ้าน
2335,ไปตลาดกัน
2336,ไปส่งฉันที่สนามบินหน่อย
2337,อย่าลืมเอากล้องถ่ายรูปมาด้วยนะ
2338,ทำยังไงถึงจะได้เงินเยอะ
2339,อย่าลืมนำพาสปอร์ตนะ
2340,เธอ นั่งก่อนนะ
2341,เธอจะไปซื้อของที่ตลาดไหม
2342,เธอจะไปออกกำลังกายตอนเช้าหรือว่าเย็นดี
2343,ฉันจะไปเล่นฟุตบอลที่สนามใหม่ฟังมาว่ามันกว้างและดีมาก
2344,ฉันอยู่บ้าน
2345,เธอชอบกินก๋วยเตี๋ยวไหม
2346,ฝนตกหนักมากขับรถดีๆนะ
2347,ตำรวจเตือนภัยแก๊งมิจฉาชีพหลอกให้โอนเงิน
2348,รอก่อนเดี๋ยวเราจะไปพร้อมกัน
2349,กันกระแทกไหม
2350,มะม่วงหวานกิโลละกี่บาท
2351,อยากได้ของฝาก
2352,แบบไหนก็ได้
2353,ฉันอยากดื่มกาแฟเย็น
2354,คืนนี้มีงานวัดที่หมู่บ้านข้างๆจะไปเล่นซุ้มปาเป้าให้ได้รางวัล
2355,เราจะทำยังไงดี
2356,เธอรู้จักเขาไหม
2357,ฉันกำลังจะไปตลาดซื้อของมาทำอาหารเพราะว่าวันนี้ไม่มีอะไรกินที่บ้านเลย
2358,ใช้กับทุกอุปกรณ์ไหม
2359,พวกเราจะไปเล่นน้ำตก
2360,ไปดูหนังกันไหม
2361,เรา มีเวลาประชุมนานแค่ไหน
2362,กินข้าวแล้วไปทำงาน
2363,เธอจะอยู่ที่นี่อีกนานไหม
2364,ขอใช้เครื่องปริ้นเตอร์ด้วยได้ไหม
2365,ขอให้เธอช่วยอธิบายอีกครั้ง
2366,เขาไม่พูดไทย
2367,มีโปรโมชั่นพิเศษสำหรับวันนี้ไหม
2368,ฉันลืมเอาของมา
2369,งานแสดงสินค้าท้องถิ่นได้รับความนิยม
2370,พี่จะพาเธอไปเที่ยวน้ำตกวันเสาร์นี้เธออย่าลืมเตรียมของไปด้วยนะ
2371,อยู่ไหนแล้ว
2372,ชอบฟังหมอลำ
2373,เธอเก่งมากสมแล้วที่ประสบความสำเร็จ
2374,เธอมีข้าวนำเข้าขายไหม
2375,ของกินร้านนี้ใหม่ทุกวันไหม
2376,ไปเถอะ อย่ารอนาน
2377,เธอจะมาอีกไหม
2378,ฉันจะไปไหนก็ไม่รู้
2379,กินข้าวหรือยัง
2380,ฉันอยากไปเที่ยวน้ำตกหน้าฝนน้ำจะไหลแรงสวยมาก
2381,ฉันรีบกลับบ้านก่อนนะแม่โทรมาตามแล้ว
2382,มีบริการจัดส่งถึงบ้านไหม
2383,คิดถึงบ้านมาก
2384,งั้นแหละ ยังต้องปรับปรุงอีกเยอะ
2385,เราจะเปิดบัญชีธนาคารออนไลน์
2386,ก็จะไปหาแม่
2387,ไม่เห็นด้วยกับข้อเสนอนี้
2388,ขอใช้บริการโอนเงินด่วน
2389,ให้ น้ำเกลือ ต输เข้าร่างกายนานแค่ไหน
2390,พวกเราจะไปเล่นกีฬา
2391,ไปนอนก่อนนะง่วงมาก
2392,ต้องเดินทางไกลมากไหม
2393,เมนูแนะนำคืออะไร
2394,สู้ ๆนะ
2395,เธอจะเอาแบบแพ็คเกจใหญ่ไหม
2396,คุณไปด้วยกันไหม
2397,เธอจะไปทำอะไรพรุ่งนี้
2398,ฉันอยากลองกินแกงเห็ด
2399,วันนี้มีส่วนลดพิเศษไหม
2400,ช่างสวยมาก
2401,มี โต๊ะ ว่างไหม
2402,ฉันจะพาแม่ไปเที่ยววัด
2403,ฉันซื้อเสื้อตัวใหม่ให้หลานเธอดีใจมาก
2404,เธอมีเบอร์โทรไหม
2405,เธอมีสินค้าตัวนี้ไหมในสต็อกหรือเปล่า
2406,รถเมล์วันนี้แน่นมาก
2407,พวกเราจะไปดูหมอลำคืนนี้
2408,วันนี้หุ้นตกเยอะ
2409,ช่างดีใจมาก
2410,เธอชอบกินผลไม้หรืออะไร
2411,คุณนอนแต่เช้าหรือเปล่า
2412,เราจะไปตลาดวันนี้
2413,เธอมีหมูสามชั้นไหม
2414,จะพาครอบครัวมาเยี่ยมไหม
2415,อยู่บ้านก็เหงา
2416,เพื่อนๆมาหาฉันที่บ้านนะฉันทำอาหารไว้ให้แล้ว
2417,ช่วยหน่อยเยอะๆขอแรงหน่อย
2418,กำลังรู้สึกอย่างไรตอนนี้
2419,สินค้าตัวนี้เป็นสินค้านำเข้าไหม
2420,ฉันไม่มีเงินเลย
2421,เธอติดตามข่าวสารจากไหน
2422,ฉันจะไปทำอาหารที่ตลาดสดคุณจะฝากซื้ออะไรไหม
2423,พรุ่งนี้จะไปจับปลา
2424,กาแฟใช้เมล็ดจากบราซิลไหม
2425,ถ้าซื้อหลายชิ้นลดเพิ่มได้ไหม
2426,เธอคิดอะไรอยู่
2427,ทำงานอยู่หรือเปล่า
2428,ช่วยฉันยกของหน่อย
