id,output
2130,เธอ อยาก กิน อะไร
2131,แนว กิน อยู่ ที่ไหน
2132,ไม่ รู้ ว่า จะ ไป ไหน ดี
2133,ไม่ต้อง ห่วง นะ
2134,ฝนตก แล้ว เอา ร่ม ไป ด้วย นะ
2135,สินค้า ตัว นี้ หมด แล้ วจะ เข้ามา อีก เมื่อไหร่
2136,งานศิลปะ นี้ ไม่ เข้าใจ
2137,ฉัน จะ ไป ตลาด ซื้อ ไก่
2138,เธอ ไป ทำ อะไร มา
2139,ฉัน กำลังจะ ไป เล่น กีฬา
2140,พรุ่งนี้ ฉัน ว่าง
2141,ราคา น้ำมัน ขึ้น สูง มาก
2142,เรา จะ มา สวย ขอ แจ้ง ล่วงหน้า
2143,ฉัน อยาก ไป นอน ที่ บ้านพัก
2144,รอ ฉัน แป๊บเดียว กำลังจะ ไป
2145,เธอ ชอบ กิน อาหาร อีสาน ไหม
2146,เธอ จะ ไป ไหน มา
2147,มี บริการ จัดหา เชฟ ทำอาหาร ที่ บ้าน ไหม
2148,ฉัน กำลัง ยุ่ง มาก
2149,บัตรเครดิต   ใช้ได้ ไหม
2150,ฉัน อยาก ไปเที่ยว ต่างจังหวัด
2151,ฉัน รู้สึก ดีใจ มาก ที่ ได้ กลับมา เยี่ยม บ้าน หลังจาก ไม่ ได้ กลับ นาน
2152,สามารถ จอง ออนไลน์ ได้ ไหม
2153,ฉัน ชอบ ดู หนัง แนว ตลก มัน ทำให้ ฉัน หัวเราะ ได้ เยอะ
2154,วัน เมื่อวาน ไป ไหน มา
2155,อย่า ลืม ใส่ หมวก กันแดด นะ
2156,สบายดี ไหม
2157,เรา จะ ไป ฝากเงิน ที่ ธนาคาร
2158,จะ พา ลูก ไป เล่น ที่ สนามเด็กเล่น
2159,พบ ไข้หวัด ระบาด ใน พื้นที่
2160,กินข้าว แล้ วจะ ไป ไหน
2161,อย่า เล่น น้ำฝน มาก นะ
2162,รีบ มาน หา ฉัน หน่อย
2163,เจอ คุณ เก่า นะ
2164,อากาศ ดี ไม่ หนาว
2165,อากาศ เย็น ดีมาก
2166,อย่า ลืม
2167,เรา   มีนัด   หมอ   พรุ่งนี้
2168,ขอ เส้นทาง หน่อย
2169,ฉัน จะ ไป เยี่ยม แม่
2170,ทำ แบบ นั้น ดี ไหม
2171,ร้อน มาก จน อยาก ไป เล่น น้ำ
2172,อากาศ หนาว แล้ว นะ
2173,จะ พา ไป กิน อาหาร ที่ ร้าน ดัง
2174,เอา เสื้อกันฝน ไป ด้วย นะ
2175,น้องสาว ทำ ข้าวจี่ ใส่ไข่ ย่าง ไฟ หอ มมาก กิน แล้ว อิ่ม อร่อย
2176,ต้อง กิน ยา จน หมด หรือเปล่า
2177,อย่า ขัดจังหวะ ตอน คนอื่น พูด
2178,ช่วย ดู ของ ให้ หน่อย ฉัน จะ ไป ซื้อ ของ
2179,ถึง บ้าน แล้ว
2180,รัก เธอ มาก
2181,เธอ นี่ ช่าง ใจดี
2182,จะ ไป ไหน แต่เช้า
2183,ฉัน อยาก ไปดู คอนเสิร์ต
2184,แผ่นดินไหว ขนาดเล็ก เกิดขึ้น ใน ภาคเหนือ
2185,ฉัน จะ ไป ซื้อ น้ำแข็ง
2186,ฉัน อยาก ใช้ บริการ เช่า รถ
2187,ฉัน อยากได้ หมวก กันแดด
2188,ทำ ประกัน สุขภาพ ไหม
2189,พบ แหล่ง น้ำแร่ ธรรมชาติ ใหม่
2190,ใคร จะ มา ด้วยกัน
2191,รับ ชำระเงิน ผ่าน แอ ป มือถือ ไหม
2192,อากาศ ร้อน มาก
2193,นักเรียน บ้าน เรา คว้ารางวัล วิทยาศาสตร์
2194,โปรเจค นี้ มีปัญหา หลาย
2195,เธอ ชอบ ไปเที่ยว ตลาด เช้า หรือว่า ตลาด เย็น มากกว่า กัน
2196,ไม่ต้อง ทำ เยอะ คุณ พักผ่อน ให้ เต็มที่ ก่อน นะ
2197,ฉัน จะ ซื้อ เนื้อวัว ครึ่ง กิโล
2198,เธอ อยาก กิน อะไร ฉัน จะ ไป ซื้อ ให้ เธอ นะ
2199,เธอ มี เบอร์ โทร หมอ ไหม
2200,ฉัน อยาก ถาม เพิ่ม
2201,ฝนตก แล้ว
2202,เดินเล่น รอบ เมือง กัน ไหม
2203,ใช่   จะ ไปเที่ยว สวนสัตว์ พรุ่งนี้
2204,ฉัน จะ ซื้อ มือถือ ใหม่
2205,อย่า ลืม นำ บัตรประชาชน
2206,ของ อยู่ ตลาด นี้ สด กว่า ตลาด อื่น ไหม
2207,วันนี้ ฝนตก
2208,อยู่ดี มี อะไร
2209,สถานี อยู่ ทาง ไหน
2210,วันนี้ มี โปรโมชั่น ไหม
2211,อาหาร ที่ บ้าน อร่อย ไหม
2212,พวกเรา   มา ช่วยกัน ปลูก ต้นไม้
2213,ฉัน อยากได้ ปลาแดก ที่ อร่อย ดี
2214,ส่ง ข้อความ มาหา ฉัน หน่อย
2215,ขอ สอบถาม เกี่ยวกับ นโยบาย การ รับคืน สินค้า ถ้า ของ ใช้แล้ว เปลี่ยน ได้ ไหม
2216,รีบ ไป เถอะ เดี๋ยว สาย
2217,ร้าน นี้ มี บริการ ล้างรถ ไหม
2218,ถ้า ของเสีย เปลี่ยน คืน ได้ ไหม
2219,พูด มา หน่อย
2220,ฉัน ไม่ มีเงิน
2221,พี่ จะ ไปเที่ยว ตลาดนัด
2222,ฉัน คิดถึง แม่ มาก
2223,วันนี้ อากาศ ร้อน มาก อยาก กิน น้ำแข็ง บ้าง ให้ เย็นสบาย
2224,รีบ มา นั่ง กินข้าว
2225,เรา จะ ไป นอน บ้าน ยาย
2226,ลูก หมา เธอ น่ารัก มาก
2227,สินค้า นี้ สามารถ ใช้ เป็น ของขวัญ สำหรับ ผู้ใหญ่ ได้ ไหม
2228,ร้าน ขาย โทรศัพท์ อยู่ ที่ไหน
2229,เรา จะ ไป กินข้าว ด้วยกัน ไหม
2230,ฉัน ง่วงนอน แล้ว
2231,จะ ไป ตลาดนัด ก่อน ไปเที่ยว ไหม
2232,จะ ไป งานแต่ง กัน ไหม
2233,ช่วย ฉัน หน่อย
2234,ฉัน จะ ไปดู หมอลำ ซิ่ง
2235,ฉัน หา ซื้อ เครื่องสำอาง
2236,ฉัน จะ ไป นอน ก่อน นะ
2237,ช่วยดูแล ลูก ฉัน หน่อย สักครู่
2238,เธอ ไป โรงเรียน กี่ โมง
2239,คิดถึง นะ
2240,มะม่วง สุก กิโล ละ กี่ บาท
2241,ไป เล่น บอล กัน ไหม
2242,ฉัน อยาก เปิด เบอร์ ใหม่
2243,กิน เผ็ด ได้ ไหม
2244,เธอ จะ ไป ตลาด ไหม
2245,ฉัน จะ ไป ตลาด ซื้อ ผัก
2246,สินค้า ตัว นี้ เป็น รุ่นใหม่ ล่าสุด หรือ เป็น ของค้าง สต็อก
2247,ฉัน ชอบ ไป เยี่ยม ย่า ทุก เสาร์ เพราะว่า ย่า รัก ฉัน มาก
2248,เธอ มา อยู่ ที่ไหน
2249,บันทึก การประชุม อยู่ ที่ไหน
2250,ฉัน จะ ไป ทำงาน ที่ เมือง   ขอนแก่น อาทิตย์ หน้า ไม่ รู้ ว่า จะ เป็น ยังไง
2251,ขอให้ เรา ปิดประชุม ตรงนี้
2252,ถึง แล้ วหา ที่พัก ก่อน
2253,งานบุญ ใหญ่ เริ่ม ขึ้น แล้ว วันนี้
2254,อย่า คิดมาก
2255,เรา เป็น พี่น้อง กัน
2256,เธอ จะ ไม่ ไปดู หนัง เหรอ
2257,เธอ ช่าง ทำ แบบนี้
2258,เธอ ไป ไหน มา
2259,ไป   นา   กับ   พ่อ
2260,น้ำหอม   ขวด นี้ หอม ไหม
2261,จะ ไป ดำน้ำ ดู ปะการัง
2262,เธอ รู้จัก เพื่อนบ้าน ไหม
2263,ฉัน รัก เธอ
2264,ใคร จะ ไป ส่ง น้อง เรียน
2265,ตำรวจ เร่ง กำลัง ดูแล ความปลอดภัย ปีใหม่
2266,ขอ คุย กับ ผู้จัดการ ได้ ไหม
2267,ฉัน กำลัง ทำ ขนม พื้นบ้าน   อยาก ลอง ชิม ไหม
2268,เย็น นี้ จะ ไป งานบุญ ไหม
2269,โรงพยาบาล เปิด แผนก รักษาโรค เฉพาะทาง
2270,ยินดีต้อนรับ นะ
2271,สภาพอากาศ วันนี้ แดด แรง มาก
2272,ฉัน อยาก ซื้อ รองเท้า ใหม่
2273,จะ ไป เยี่ยม เพื่อน ที่ โรงพยาบาล
2274,สี นี้ สวย มาก
2275,ไป ซื้อ ผัก ให้ แม่ หน่อย
2276,ไป เล่น น้ำ กัน
2277,เรื่อง นี้ เรา คุย กัน หลาย รอบ แล้ว
2278,ฉัน ชอบ ไป เดิน ตลาดนัด หา ของกิน อร่อย ๆ
2279,ฉัน อยาก เริ่ม ออกกำลังกาย
2280,ถ้า เกิด ปัญหา หลังจาก ซื้อ ไป แล้ว ฉัน สามารถ ติดต่อ ใคร เพื่อ รับ การ ช่วยเหลือ
2281,เธอ มี เวลาว่าง ไหม
2282,พรุ่งนี้ จะ ไปดู แข่ง ฟุตบอล ทีม โปรด ไหม
2283,บริการ ช้า มาก คน ก็ เลย เยอะ
2284,สามารถ นัด พนักงาน มา ติดตั้ง เครื่องใช้ไฟฟ้า ได้ ไหม
2285,ทำ อะไร อยู่
2286,จะ ไป ตรวจ ตา ที่ไหน
2287,ไฟไหม้   โทร แจ้ง ดับไฟ เร็ว
2288,ไป ด้วยกัน ไหม
2289,วันนี้ จะ ไป ซื้อ ของฝาก ให้ พ่อแม่ คิดถึง เลย ว่า จะ ซื้อ อะไร ดี
2290,ฉัน จะ ไปหา หมอ
2291,พรุ่งนี้ จะ ไปเที่ยว วัด
2292,ฉัน ชอบ อันนี้ มาก
2293,ข่าวบันเทิง วันนี้ เป็น ยังไง
2294,ทิวทัศน์ นี้ สวย มาก
2295,ฉัน อยาก ไปหา หมอ
2296,ส่ง ข้อความ หา ฉัน ด้วย
2297,ไป กินข้าว กัน
2298,ฉัน อยาก นอน แล้ว
2299,ร้าน นี้ รับฝาก สัตว์เลี้ยง ไหม
2300,จะ พา แม่ ไป ซื้อ ของ
2301,คืน เงินได้ ไหม
2302,ถ้า ฉัน ซื้อ สินค้า จำนวนมาก   ๆ   จะ ได้รับ ราคาส่ง หรือ ส่วนลด พิเศษ ไหม
2303,เรา   มา ช่วยกัน หน่อย
2304,ขอให้ เธอ สรุป หน่อย
2305,วันนี้ รถติด มาก
2306,แผน นี้ มีโอกาส เป็นจริง สูง
2307,ไม่ค่อย เข้าใจ
2308,ฝน จะ ตก แล้ว รีบ เข้า บ้าน
2309,ไม่ต้อง รีบ ทำ นะ   ทำ ช้าๆ ดีกว่า
2310,ฉัน จะ ไป ซื้อ ต้ม เลือดหมู
2311,รอ ฉัน สักครู่ กำลัง มา
2312,รีวิว สินค้า ดี ไหม
2313,ทำ อะไร อยู่
2314,สินค้า ใหม่ เมื่อไหร่ จะ ลง
2315,ไปทางลัด จะ เร็ว กว่า
2316,ฉัน อยาก ไปเที่ยว โฮมสเตย์
2317,อย่า ลืม นำ หมวก ไป นะ
2318,อย่า ออก ไป ไกล นะ
2319,แบบ ไหน ก็ได้ ฉัน ไม่ เลือก
2320,เธอ กำลัง ทำ อะไร อยู่
2321,ราคา หมู แพง ขึ้น ชาวบ้าน ได้รับ ผลกระทบ
2322,พยาบาล ให้ยา ผิด ไหม
2323,ใช่ไหม
2324,ซื่อสัตย์ มาก นะ
2325,ทีม ฟุตบอล บ้าน เรา ชนะ การแข่งขัน
2326,อย่า ลืม ล็อค ประตู บ้าน
2327,ช่วย จับ ของ ให้ หน่อย ฉัน ถือ เยอะ แล้ว
2328,ฉัน อยาก ซื้อ พริก แกง แดง
2329,วันนี้ จะ ไป ทำบุญ
2330,ลดราคา ให้ หน่อย ได้ ไหม ถ้า ซื้อ สอง ตัว หรือ มากกว่า นี้ ลด เพิ่ม ได้ ไหม
2331,เรา   มา ฝึก เล่น ดนตรี ด้วยกัน
2332,ถ้า ซื้อ ครบ จำนวน ที่ กำหนด แล้ว สามารถ แล กรับ ของแถม ได้ ไหม
2333,บ้าน คุณ อยู่ ที่ไหน
2334,คิดถึงบ้าน
2335,ไป ตลาด กัน
2336,ไป ส่ง ฉัน ที่ สนามบิน หน่อย
2337,อย่า ลืม เอา กล้องถ่ายรูป มา ด้วย นะ
2338,ทำ ยังไง ถึง จะ ได้เงิน เยอะ
2339,อย่า ลืม นำ พาสปอร์ต นะ
2340,เธอ   นั่ง ก่อน นะ
2341,เธอ จะ ไป ซื้อ ของ ที่ ตลาด ไหม
2342,เธอ จะ ไป ออกกำลังกาย ตอนเช้า หรือว่า เย็น ดี
2343,ฉัน จะ ไป เล่น ฟุตบอล ที่ สนาม ใหม่ ฟัง มา ว่า มัน กว้าง และ ดีมาก
2344,ฉัน อยู่ บ้าน
2345,เธอ ชอบ กิน ก๋วยเตี๋ยว ไหม
2346,ฝน ตกหนัก มาก ขับรถ ดี ๆ นะ
2347,ตำรวจ เตือนภัย แก๊ง มิจฉาชีพ หลอก ให้ โอน เงิน
2348,รอ ก่อน เดี๋ยว เรา จะ ไป พร้อมกัน
2349,กันกระแทก ไหม
2350,มะม่วง หวาน กิโล ละ กี่ บาท
2351,อยากได้ ของฝาก
2352,แบบ ไหน ก็ได้
2353,ฉัน อยาก ดื่ม กาแฟเย็น
2354,คืนนี้ มี งานวัด ที่ หมู่บ้าน ข้างๆ จะ ไป เล่น ซุ้ม ปา เป้า ให้ได้ รางวัล
2355,เรา จะ ทำ ยังไง ดี
2356,เธอ รู้จัก เขา ไหม
2357,ฉัน กำลังจะ ไป ตลาด ซื้อ ของ มา ทำอาหาร เพราะว่า วันนี้ ไม่ มี อะไร กินที่ บ้าน เลย
2358,ใช้กับ ทุก อุปกรณ์ ไหม
2359,พวกเรา จะ ไป เล่น น้ำตก
2360,ไปดู หนัง กัน ไหม
2361,เรา   มี เวลา ประชุม นาน แค่ ไหน
2362,กินข้าว แล้วไป ทำงาน
2363,เธอ จะ อยู่ ที่นี่ อีก นาน ไหม
2364,ขอ ใช้ เครื่อง ป ริ้น เต อร ์ ด้วย ได้ ไหม
2365,ขอให้ เธอ ช่วย อธิบาย อีกครั้ง
2366,เขา ไม่ พูด ไทย
2367,มี โปรโมชั่น พิเศษ สำหรับ วันนี้ ไหม
2368,ฉัน ลืม เอา ของ มา
2369,งานแสดงสินค้า ท้องถิ่น ได้รับ ความนิยม
2370,พี่ จะ พา เธอ ไปเที่ยว น้ำตก วัน เสาร์ นี้ เธอ อย่า ลืม เตรียม ของ ไป ด้วย นะ
2371,อยู่ ไหน แล้ว
2372,ชอบ ฟัง หมอลำ
2373,เธอ เก่ง มาก สม แล้ว ที่ ประสบความสำเร็จ
2374,เธอ มี ข้าว นำเข้า ขาย ไหม
2375,ของกิน ร้าน นี้ ใหม่ ทุกวัน ไหม
2376,ไป เถอะ   อย่า รอ นาน
2377,เธอ จะ มา อีก ไหม
2378,ฉัน จะ ไป ไหน ก็ ไม่ รู้
2379,กินข้าว หรือยัง
2380,ฉัน อยาก ไปเที่ยว น้ำตก หน้าฝน น้ำ จะ ไหล แรง สวย มาก
2381,ฉัน รีบ กลับบ้าน ก่อน นะ แม่ โทร มา ตาม แล้ว
2382,มี บริการ จัดส่ง ถึง บ้าน ไหม
2383,คิดถึงบ้าน มาก
2384,งั้น แหละ   ยัง ต้อง ปรับปรุง อีก เยอะ
2385,เรา จะ เปิดบัญชี ธนาคาร ออนไลน์
2386,ก็ จะ ไปหา แม่
2387,ไม่ เห็นด้วย กับ ข้อเสนอ นี้
2388,ขอ ใช้ บริการ โอน เงิน ด่วน
2389,ให้   น้ำเกลือ   ต输 เข้า ร่างกาย นาน แค่ ไหน
2390,พวกเรา จะ ไป เล่น กีฬา
2391,ไป นอน ก่อน นะ ง่วง มาก
2392,ต้อง เดินทางไกล มาก ไหม
2393,เมนู แนะนำ คือ อะไร
2394,สู้   ๆ นะ
2395,เธอ จะ เอา แบบ แพ็คเกจ ใหญ่ ไหม
2396,คุณ ไป ด้วยกัน ไหม
2397,เธอ จะ ไป ทำ อะไร พรุ่งนี้
2398,ฉัน อยาก ลอง กิน แกง เห็ด
2399,วันนี้ มี ส่วนลด พิเศษ ไหม
2400,ช่าง สวย มาก
2401,มี   โต๊ะ   ว่าง ไหม
2402,ฉัน จะ พา แม่ ไปเที่ยว วัด
2403,ฉัน ซื้อ เสื้อ ตัวใหม่ ให้ หลาน เธอ ดีใจ มาก
2404,เธอ มี เบอร์ โทร ไหม
2405,เธอ มี สินค้า ตัว นี้ ไหม ใน สต็อก หรือเปล่า
2406,รถเมล์ วันนี้ แน่น มาก
2407,พวกเรา จะ ไปดู หมอลำ คืนนี้
2408,วันนี้ หุ้น ตก เยอะ
2409,ช่าง ดีใจ มาก
2410,เธอ ชอบ กิน ผลไม้ หรือ อะไร
2411,คุณ นอน แต่เช้า หรือเปล่า
2412,เรา จะ ไป ตลาด วันนี้
2413,เธอ มี หมูสามชั้น ไหม
2414,จะ พา ครอบครัว มา เยี่ยม ไหม
2415,อยู่ บ้าน ก็ เหงา
2416,เพื่อน ๆ มาหา ฉัน ที่ บ้าน นะ ฉัน ทำอาหาร ไว้ ให้ แล้ว
2417,ช่วย หน่อย เยอะ ๆ ขอแรง หน่อย
2418,กำลัง รู้สึก อย่างไร ตอนนี้
2419,สินค้า ตัว นี้ เป็น สินค้านำเข้า ไหม
2420,ฉัน ไม่ มีเงิน เลย
2421,เธอ ติดตาม ข่าวสาร จาก ไหน
2422,ฉัน จะ ไป ทำอาหาร ที่ ตลาดสด คุณ จะ ฝาก ซื้อ อะไร ไหม
2423,พรุ่งนี้ จะ ไป จับ ปลา
2424,กาแฟ ใช้ เมล็ด จาก บราซิล ไหม
2425,ถ้า ซื้อ หลาย ชิ้น ลด เพิ่ม ได้ ไหม
2426,เธอ คิด อะไร อยู่
2427,ทำงาน อยู่ หรือเปล่า
2428,ช่วย ฉัน ยก ของ หน่อย
